strategy_name,n,horizon,start_year,end_year,is_after_tax,tax_rate,initial_capital,final_equity,cumulative_return,cagr,max_drawdown,total_taxes_paid,total_dividends_received,pre_liquidation_wealth,post_liquidation_wealth,post_liquidation_cagr,tax_drag,alpha_vs_spx
Top_3_MarketCap,3,20y,2004,2024,True,0.3,10000.0,133693.16435971257,12.369316435971257,0.1384277150970683,-0.39501693891648865,18328.71911943039,7141.836013639286,133693.16435971257,109415.31843540007,0.12707782813991675,0.014503424897074124,0.04128809493114294
Top_3_MarketCap_Quarterly,3,20y,2004,2024,False,0.3,10000.0,153491.0205910957,14.34910205910957,0.146315457487886,-0.4445281491416163,0.0,6800.70519975183,153491.0205910957,153491.0205910957,0.146315457487886,0.0,0.042767586455698225
Top_3_MarketCap_Quarterly,3,20y,2004,2024,True,0.3,10000.0,117985.65427554282,10.798565427554282,0.1313356179086722,-0.45411170484582514,11395.637586168295,6019.781361368956,117985.65427554282,93566.90430319779,0.11829430453601186,0.014979839579213783,0.03419599774274684
Top_5_MarketCap,5,20y,2004,2024,False,0.3,10000.0,136455.10360222007,12.645510360222007,0.13959225549596277,-0.3629571722210759,0.0,5889.778002245144,136455.10360222007,136455.10360222007,0.13959225549596277,0.0,0.036044384463775
Top_5_MarketCap,5,20y,2004,2024,True,0.3,10000.0,114795.91612768697,10.479591612768697,0.12978634635220043,-0.36403192184163,5448.628482099495,5426.057344873193,114795.91612768697,87171.18122685052,0.1143423771535026,0.009805909143762337,0.032646726186275066
Top_5_MarketCap_Quarterly,5,20y,2004,2024,False,0.3,10000.0,146399.3894002583,13.63993894002583,0.14360741675269595,-0.45376822542262846,0.0,5749.247816269903,146399.3894002583,146399.3894002583,0.14360741675269595,0.0,0.04005954572050818
Top_5_MarketCap_Quarterly,5,20y,2004,2024,True,0.3,10000.0,123789.06667955438,11.378906667955437,0.13405499142368527,-0.4612627608539349,4979.84005078182,5277.198529689948,123789.06667955438,93138.23471123536,0.1180375764244408,0.009552425329010683,0.0369153712577599
Top_10_MarketCap,10,20y,2004,2024,False,0.3,10000.0,118151.45432633391,10.815145432633392,0.1314150557065541,-0.3461714889059811,0.0,6744.406112970608,118151.45432633391,118151.45432633391,0.1314150557065541,0.0,0.02786718467436633
Top_10_MarketCap,10,20y,2004,2024,True,0.3,10000.0,97814.86540205273,8.781486540205274,0.12077966605134538,-0.3474273549238992,5977.911281469372,6150.450648529031,97814.86540205273,75654.94367846547,0.10647566193032798,0.010635389655208716,0.023640045885420014
Top_10_MarketCap_Quarterly,10,20y,2004,2024,False,0.3,10000.0,124801.2821670219,11.48012821670219,0.13451685493265808,-0.4015924030693401,0.0,6902.474585195788,124801.2821670219,124801.2821670219,0.13451685493265808,0.0,0.030968983900470315
Top_10_MarketCap_Quarterly,10,20y,2004,2024,True,0.3,10000.0,100975.45028494003,9.097545028494004,0.12256317131419392,-0.40966393604053425,6922.520354376351,6229.417236219605,100975.45028494003,78528.57944752145,0.1085400471397211,0.011953683618464161,0.025423551148268553
World_Top_3_MarketCap,3,20y,2004,2024,False,0.3,10000.0,210459.0008290999,20.04590008290999,0.16455063145903837,-0.3839931314891727,0.0,7817.338695165459,210459.0008290999,210459.0008290999,0.16455063145903837,0.0,0.0610027604268506
World_Top_3_MarketCap,3,20y,2004,2024,True,0.3,10000.0,170079.22667206533,16.007922667206532,0.15221245007323558,-0.3941584626929396,12515.477074818622,7043.311139689578,170079.22667206533,130816.29262281876,0.13719015665059708,0.012338181385802782,0.05507282990731022
World_Top_3_MarketCap_Quarterly,3,20y,2004,2024,False,0.3,10000.0,163494.56635670748,15.349456635670748,0.14993996098705176,-0.4826171280572157,0.0,6366.894374822424,163494.56635670748,163494.56635670748,0.14993996098705176,0.0,0.04639208995486399
World_Top_3_MarketCap_Quarterly,3,20y,2004,2024,True,0.3,10000.0,129698.06579061848,11.969806579061848,0.13670213307970558,-0.48792695671757363,8952.541479012978,5680.296470152912,129698.06579061848,100055.42508874203,0.12204954010502345,0.013237827907346178,0.03956251291378021
World_Top_5_MarketCap,5,20y,2004,2024,False,0.3,10000.0,120077.98484573382,11.007798484573382,0.13233040638109483,-0.3687822390117142,0.0,5196.18470661127,120077.98484573382,120077.98484573382,0.13233040638109483,0.0,0.028782535348907068
World_Top_5_MarketCap,5,20y,2004,2024,True,0.3,10000.0,99797.44265418366,8.979744265418367,0.12190470828266409,-0.38067787401028536,6475.640990158669,4817.165231756752,99797.44265418366,77391.15855103963,0.10773165739156343,0.010425698098430747,0.02476508811673872
World_Top_5_MarketCap_Quarterly,5,20y,2004,2024,False,0.3,10000.0,130509.50137022362,12.050950137022362,0.13705666057681798,-0.496829474232359,0.0,5197.003390368361,130509.50137022362,130509.50137022362,0.13705666057681798,0.0,0.03350878954463021
World_Top_5_MarketCap_Quarterly,5,20y,2004,2024,True,0.3,10000.0,107589.77139001717,9.758977139001717,0.12613005456679627,-0.503744189868619,6657.2235393463825,4776.301576907109,107589.77139001717,82972.89645055449,0.11159558334191533,0.010926606010021711,0.0289904344008709
World_Top_10_MarketCap,10,20y,2004,2024,False,0.3,10000.0,114448.21108342073,10.444821108342072,0.12961499935731546,-0.3723758388539106,0.0,7181.027662997064,114448.21108342073,114448.21108342073,0.12961499935731546,0.0,0.026067128325127698
World_Top_10_MarketCap,10,20y,2004,2024,True,0.3,10000.0,91619.335635395,8.161933563539499,0.11711879046367035,-0.3735131653584941,7905.802852610158,6504.804296544063,91619.335635395,72667.59694160361,0.10424906431988368,0.012496208893645111,0.019979170297744986
World_Top_10_MarketCap_Quarterly,10,20y,2004,2024,False,0.3,10000.0,113536.61594339256,10.353661594339256,0.12916341176812374,-0.43957162398651656,0.0,6905.150471913024,113536.61594339256,113536.61594339256,0.12916341176812374,0.0,0.02561554073593597
